phonetics,meaning,origin_explanation,ethiopic_word,amharic_meaning
"habhab 'reward, gift';","'reward, gift'","from wahaba 'give', below. SEMITIC: Heb. habhāb-īm interpreted as 'gifts, offerings'; see Buhl 172, Baumgartner 227.",ሀብሀብ,ሽልማት፣ ስጦታ
"hablaya 'ridicule, mock, make fun of';","'ridicule, mock, make fun of'","tahablaya 'amuse oneself, procure for oneself a spectacle'. habluy 'spectacle'. hablayā (Lt) 'welcome sight'. SEMITIC: The connection with Heb. habal 'be vain' suggested by Stade 45 is unlikely. ETHIOPIC: Tna. hablaya (with h) 'deceive by a hoax'. See also hawlaya I.",ሀብለየ,ማሾፍ፣ መሳለቅ፣ መቀለድ
habrata (MA) 'tremble with fear';,'tremble with fear',"to be connected with harbada, below.",ሀብረተ,በፍርሃት መንቀጥቀጥ
"habt 'gift, donation';","'gift, donation'","from wahaba 'give', below.",ሀብት,ስጦታ፣ ልገሳ
habawa; see habo.,,,ሀበወ,ማጤዝ (ሀቦን ይመልከቱ)
"hobāy (pl. hobāyāt, wahbūy) 'kind of hawk, kite, (T.M. Sw. in D 9) ape';","'kind of hawk, kite, (T.M. Sw. in D 9) ape'","ETHIOPIC: Te. habāy, humbay 'baboon, monkey', hobāy 'kite', Tna. habāy 'monkey', hobāy samay 'kind of hawk'. Amh. eba 'monkey', monkey's cry', from Cushitic: Sa.Af. habu, habūbā 'ape', habū. The sound of the ape'. There is the possibility of separating hobāy I 'kite' from hobāy II 'monkey'. However, the root hobāy meaning 'monkey' and 'kite' could be explained by a sound that may be considered common to both the monkey and the kite; in this case there would be a single root hobāy.",ሆባይ,የጭልፊት ዓይነት፣ ዝንጀሮ
hado (T) 'midday heat';,'midday heat',,ሀዶ,የቀትር ሙቀት
heda; see hyd.,,,ሄደ,ሄደ (hyd ይመልከቱ)
"had'a (yahdā') , (L.T) had'a 'be tranquil, be quiet, quiet oneself, be at peace, be appeased, abate, subside';","'be tranquil, be quiet, quiet oneself, be at peace, be appeased, abate, subside'","ahdā'a 'calm, quiet, appease, make pacify, mitigate'. hadā'i (Gr. 13), see hadu. hadū' 'calm, quiet, tranquil, placid, relieved, calmed down'. hadūwāwī 'inclined to quiet, to calm'. had'āt, (T) had'at 'tranquility, serenity, quietness, calm, repose, peace, modesty, bashfulness, gentleness'. (bahad'at 'quietly'). ahdā'i, māhdā'i (Gr), part. of ahdā'a. māhdā'i 'who brings quiet, who tranquilizes, who calms'. SEMITIC: Ar. hada'a 'be quiet', Soq. hyode, Sh. hede. For Heb. hdy, see Greenspahn 85. ETHIOPIC: Te. had'a 'become quiet'. Tna. had'e. Amh. da alā 'be quiet'; also in Cushitic. Be. ad, haduw 'tranquility'. Af. idiyā. See also hdy.",ሀድአ፣ ኀድአ፣ ሀድዐ,መረጋጋት፣ ጸጥ ማለት፣ ሰላም መሆን፣ ማብረድ፣ መቀነስ
"hadafa (MA) 'be dirty, be soiled';","'be dirty, be soiled'",from Amh. addāfā 'be dirty'.,ሀደፈ,መቆሸሽ፣ እድፍ መሆን
"haddama (D.Y), haddama 'sleep, slumber, (T.Y) tell idle stories, (K) be dark (night)'; note that KG differentiates between hadama 'slumber' and haddama 'tell stories';","'sleep, slumber, (T.Y) tell idle stories, (K) be dark (night)'","tahaddama, (L) tahadma, (T) tahadma 'come drowsy, be overcome by sleep, be created, be invented' (connected with the meaning 'phantom', below). hadmat, (T) hadmat 'deep sleep, numbness, torpor, absurdity'. mahaddamat, māh(a)damat 'dreaminess, reverie, phantom stories, fable, frivolity, absurdities, insani. ty, (Lt) imagination, hallucination, drolleries' (nagara mahaddamt 'fictitious story'); mohdəm (M), mohdām (T) 'place where one sleeps, place where one stretches out to to sleep, rug, carpet, mat'. it is doubtful whether the various meanings belong to the same root. SEMITIC: Ar. hudūm 'giddiness'. Hurwitz 95 identifies it with the root dmm, dwm. Heb. dāmām 'silence', dūmā 'silence'. Bittner, WZKM 30 (1917-8), 425 connects it with Soq. hidem-an 'dream', šodim 'to dream', back to dmy. Heb. dāmā (dmy) 'take a rest'. Praeto-rius, ZDMG 57 (1903), 271 connects it with hrm (with alternance r:d), but hrm expresses kind of misfortune and does not agree in meaning with G. hdm.",ሀደመ(I)፣ ሐደመ(I),መተኛት፣ ማንቀላፋት፣ ተረት ማውራት፣ (ሌሊት) መጨለም
"hadama I (Lt), hadama 'escape, run away';","'escape, run away'","ETHIOPIC: Te. hadma 'escape, run away'. Tna. ma.",ሀደመ (II)፣ ሐደመ(II),ማምለጥ፣ መሸሽ
"hadama II (Y), hadama 'delimit, establish, determine, fix';","'delimit, establish, determine, fix'","tahadama (Lt), passive. ETHIOPIC: Tna. haddāmā 'build an enclosure'. Addāmā 'build a fence or enclosure of stone', 'fence of stone constructed around the city'.",ሀደመ (II)፣ ሐደመ(II),መወሰን፣ ማቋቋም፣ ማረጋገጥ
hadmat (Lt) 'a garment of several pieces sewn together';,'a garment of several pieces sewn together',SEMITIC: Ar. hidm 'worn-out garment'. (ta)haddama 'be worn-out (garment)'. ETHIOPIC: Te. hadāmāt 'shabby clothes'.,ህድመት,ከተለያዩ ቁርጥራጮች ተሰፍቶ የተሰራ ልብስ
hidat; see hyd.,,,ሂደት,ሂደት (hyd ይመልከቱ)
"hdy, ahdāyi (M) 'one who pacifies';",'one who pacifies',"related to had'a, above.",አህዳዪ,አስታራቂ፣ የሚያረጋጋ
"hadaya, hadaya (T.Y.K*.M) 'dissolve by overcooking, cook completely';","'dissolve by overcooking, cook completely'","tahadya, (Lt) tahadya 'be burned through, be scorched, be dissolved by being cooked too much, be macerated, be fully cooked, be sepa-rated, (K*) become soft, (Lt) dry up'. SEMITIC: related to Ar. hdy, ahdā 'boil meat to shreds' (Dillmann 18). Fisher 73 compares Ug. hdy 'lacerate'.",ሀደየ፣ ሐደየ,በመብሰል መሟሟት፣ በደንብ ማብሰል
"haf, haf; see hafawa.",,,ሀፍ፣ ሐፍ,ሙቀት፣ ላብ (ሀፈወን ይመልከቱ)
"hafawa (T) hafawa 'be hot, get heated, sweat, perspire';","'be hot, get heated, sweat, perspire'","hafāwī (Gr.15) 'who perspires'. hafāw (Gr.15) 'full of perspiration'. haf, hāf, haf 'heat, sweat, (Gr) dampness, moisture'. hafwat (Gr.15) 'act of perspiring'. SEMITIC: related to Ar. hawf, hayf 'hot wind'. ETHIOPIC: Te. haf 'heat', Tna. hafa 'fever'.",ሀፈወ፣ ሐፈወ,መሞቅ፣ ማላብ
"hag 'la (yahg'al) , (L) hag'la 'be lost, be destroyed, perish, be deprived of';","'be lost, be destroyed, perish, be deprived of'","hag'alā (yahg'al) 'lose, suffer a loss, destroy'. ahg'alā 'destroy, lose, make lose, waste, ruin, defraud, put off'. tahag'la, tahag'la (T) tahag'la 'perish, be destroyed, be ruined, be lost, fail, die'. tahāg'alā (M) 'destroy one another, ruin one another'. vastahag'alā (DTW), caus. of tahāg'alā. hag'al (hagul) 'lost, who loses, destroyed, ruined, debased, decaying, doomed to destruction, rejected, pernicious'. hag'l 'destruction, perdition, loss, waste, corruption, perfidy, havoc, ruin, end; place of perdition' (that is, abode of the dead). hag'lat 'loss, perdition'. yahg'ālī, act. part. of ahg'alā. māhg'al (māhgūl) 'destroying, deceitful, destructive, pernicious'. māh(a)g'ālī 'destroyer, who causes ruin, pernicious, who corrupts, destructive'. mohg'ālī (Lt) 'place of destruction'. tahag'ālī, part. of tahag'alā. tahag'lo (t) 'ruination, extermination, destruction'. tahg'ālī, same. SEMITIC: Ar. hgl, ahgala 'lose (wealth)'. The connection with Ar. halaka 'perish, die' suggested by Dillmann 18 is not convincing. ETHIOPIC: Te. hagla 'vanish, perish', Tna. hag'alā 'abandon, impoverish'. Amh. agg'alā 'put off'; also in Cushitic. Kham. ak'el 'disappear'. See also hagala.",ሀጒ፣ ሐጒለ,መጥፋት፣ መደምሰስ፣ መሞት፣ ማጣት
"(pl. ahgur, ahgurāt)","'city, town, village, province, district, country, homeland, inhabited region';'(hagar taqm 'walled city')';'(hagara saqam 'walled city')';'(hagar ṣanāt 'strong city')';'(saba hagar 'citizens')';'(ra'sa hagar 'capital')';'hagarit, (T) hagarīt 'town, city, state, towns-people, citizens, intimate(s), friends, acquaint-ance(s), (K*) uneducated'';'hagarāwī 'urban, pertaining to a city, civic, citizen'';'hagarītāwī, (Lt) hagarītāy 'citizen, townsman, (K*) pagan'';","SEMITIC: Ar. (Dat) hagar 'village in ruins', (Yem) hiġreh 'protected enclave', SAr. hgr 'city'. ETHIOPIC: Te. Tna. hagar 'land, country', Amh. Gur. agār. See on this root Cohen 1947:no. 1.",ሀገር,ከተማ፣ መንደር፣ ግዛት፣ አውራጃ፣ ሀገር፣ የትውልድ ሀገር፣ ሰው የሚኖርበት አካባቢ
(K),"hag""re 'red vermilion, red color';hagure (T) 'inkhorn';",ETHIOPIC: Te. haggära 'dye red'.,ህጒሬ፣ ሂጎሬ፣ ሄጎሬ፣ሕጒሬ,ቀይ ቀለም፤ የቀለም ቀንድ
,see hagar.,,ሀገሪት,ሀገርን ይመልከቱ
(T.Y.M),"'be eager, be intent on something, be diligent, hurry, be fast';hagrut, (T) hagruī 'intent on something, atten-tive, eager, solicitous, who applies oneself, anxious';hagratannā, (T) hagratannā 'assiduity, applying oneself, anxiety, solicitude, (T) speed';","ETHIOPIC: Hommel 1877:56, n. 54 considers it a denominative of hagarit (see hagar) with the mean-ing 'in der Politik nach etwas streben'. This connec-tion is doubtful. See also (ta)agrata, gāhrata.",ሀግረተ,መጓጓት፣ በአንድ ነገር ላይ ማተኮር፣ ትጉህ መሆን፣ መቸኮል፣ መፍጠን
,'whey';,"from Amh. agg""āt; also in Tna. angat (recorded by Reinisch 1890:189); perhaps from Cushitic: Sa. han-gāt 'buttermilk'.",ሀጓት,አጓት
(instead of hagawaza),"given by MA 232) 'produce light, make pro-duce light';","a misprint in relation to hanwaza, below.",ሀግወዘ፣ ሀገወዘ,ብርሃን ማመንጨት፣ እንዲያበራ ማድረግ
(pl. hohayāt),"'letter of the alphabet, (Lt) one iota';hohayāta fidal, (Lt) hohayāta fidal 'letters';","ETHIOPIC: Amh. hahu alā 'learn the alphabet, 'syllabary symbol, letter', Te. hahuhi be 'read the alphabet', from the first letter of the alphabet, read ha, hu, hi, and so on.",ሆሄ,የፊደል ገበታ ፊደል፣ ቅንጣት
,"see hwk, hoka.",,ሆከ,ሆከን ይመልከቱ
(yahkak) (Lt.Y),"hakaka (TS) 'quarrel, cause insurrection, agitate, per-turb, trouble';ahkaka (Gr.6), causative;tahakaka (K) 'be tumultuous';tahakaka (Gr.6) 'cause to be tumultuous';hakakī (Gr.6) 'tumultuous';hakuk 'turbulent, seditious, perturb-ed, troubled';hakak 'tumult, riot, revolt, turmoil, terror, alarm, uproar, quarrel, dissension, consternation, commotion, chaos, disorder, (Gr.6) religious persecution';hakak (T), same;","ETHIOPIC: related to hwk, hoka.",ሀከከ፣ ሐከከ,መጣላት፣ አመጽ ማስነሳት፣ ማነሳሳት፣ ማወክ፣ ማስቸገር
,see hakaya.,,ሀኬት,ሀከየን ይመልከቱ
,"see hwk, hoka.",,ሁከት,ሆከን ይመልከቱ
(T),"hakaya 'be lazy, be slug-gish, be slack, be inactive, be weary, lan-guish, be indolent';ahkaya, causative;tahakaya, (Gr.7) tahakkaya 'be sluggish, be slack, be slothful, be weary, be nonchalant, neglect, be negligent, be lazy, be indolent, be inert, be tranquil, be idle, be remiss, cease, hes-itate, delay, decline, disdain';astahakaya, caus. of tahakaya; also (Gr.7) 'de-spise, disdain, bring about dissension';hakkāy 'sluggard, indolent, inert, idle, lan-guishing, lazy, slothful, negligent';hakāyī 'weariness, idleness, slothfulness, lazi-ness, apathy, inertia, negligence';tahakāyī, part. of tahakaya;mahakāy 'one who causes weariness, wearisome';mastahakāy (Gr.7, K*), part. of astahakaya;","SEMITIC: Ar. kahiya (with metathesis) 'be weak, cowardly'. Mh. hatki (from hky) 'bend down'. Heb. kāhā (khy) 'grow dim, grow dull'. Syr. qāhā (qā) 'blunt, be dull' (so also Brockelmann 1928:650). Note that Dillmann 10 compares G. hakaya to these roots, but with reservations. Holma, ZA 28 (1914).147 identifies it with Akk. akū 'destitute, weak' (and other related Semitic roots), but von Soden 30 considers akū 'cripple' a Sumerian loan-word. ETHIOPIC: Te. hakka (hky) 'be weary, be indolent'. Tna. hakayā. Amh. haket 'indolence' (from Ge'ez), and a denominative takkātā (from t-akkātā) 'be tired, become weary'; passed into Cushitic: Bil. hakay 'tired, weary'. Qem. akēt 'laziness'.",ሀከየ፣ ሐከየ,መሰነፍ፣ መዝለፍለፍ፣ መንቀራፈፍ፣ መድከም፣ መታከት
(T.M),'Gospel'.,,ሀላ,ወንጌል
,"see (halaya), halle.",,ሀሌ,ሀለየን ይመልከቱ
,see hallawa.,,ሀሎ,ሀለወን ይመልከቱ
(Lt),"'spring (of water)';hela, (T) hela 'go out';","ETHIOPIC: Amh. hela 'cistern, deep well'; variant of (ela).",ሄላ(I)፣ ኄላ,የውሃ ምንጭ፤ መውጣት
,"'date cluster, sycamore fruit';see ahil.",,ሄላ(II),የተምር ዘለላ፣ የሾላ ፍሬ
(T.M),"'vase, utensil, object'.",,ሁል (I),ዕቃ፣ መገልገያ፣ ቁሳቁስ
(KG),hul (K*) 'which is unclean';,probably transcription of Heb. hol 'profane'.,ሁል (II),ርኩስ የሆነ
(KG),'skin bag for provisions'.,,ሆሎብ,የስንቅ አቁማዳ
(yəhləd),see hallada II.,,ሀለደ,ሀለደን ይመልከቱ
,see əlhəluhi.,,ህሉሂ,እልህሉሂን ይመልከቱ
(T.M),"'whirlwind, tornado'.",ETHIOPIC: It is tempting to connect it with Sa. halkas 'cause discord'; the whirlwind would be something that causes atmospheric disturbance.,ህልክስ,አውሎ ነፋስ
(Gr.2),"'jubilate, utter cries of joy';","SEMITIC: Ar. hallala 'rejoice, cheer', Heb. hillel 'praise, intone the Hallelujah', Aram. hallel 'praise', Syr. hellel 'rejoice', Md. hll 'utter cries of praise', Ug. hll 'shouting', Akk. alālu, atlulu 'shout' (an exclamation of joy)'.",ተሀለለ,እልል ማለት፣ የደስታ ድምጽ ማሰማት
,,,ሀለሌ,
,,,ህላል,
(T.M),'male equine at rut';,"ETHIOPIC: Tna. halali, halāla 'donkey that bray's when at rut', Te. halla 'cover (animal)'. Amh. allalā 'be in heat', alāle 'of dissolute life', Gur. alāle 'donkey that is used for sexual intercourse'; also in Cushitic: Or. alali. See also allala.",ሀለሌ,የጋለ/የሚያቃስት አህያ (ወንድ)
,"'new moon';halālī 'lunar';halala (KG) 'shine, be bright' (denominative);",from Ar. hilāl 'new moon'; also in Amh. halāl 'full moon'.,ህላል,አዲስ ጨረቃ
(Gr.2),see hll I.,,ህሉል,ህሉልን ይመልከቱ
,"'hallelujah';hälletā 'the chanting of hallelujah', (Gr.2) col-lection of various modes of singing halle-lujah';('anqaṣa hälletā 'index of type of melodies');",from Heb. hal(l)əlū yāh 'praise God!' through Gk. allēlouia; also Tna. halleluya. See also hll.,ሃሌሉያ,ሃሌሉያ
,see hallawa.,,ህሉና,ሀለወን ይመልከቱ
(T),"helänsän (K*) 'turban, referring to wrapping, (KG) carpet, rug';","perhaps from Gk. heliksin, acc. sg. of heliksis 'rolled bandage'. The difference (k:n) could be explained by confusing n and h k.",ሄላንስን፣ ሄላንሳን,ጥምጣም፣ ምንጣፍ
,see hälleluya.,,ሃሌታ,ሃሌሉያን ይመልከቱ
,see hallat.,,ህለት,ህለትን ይመልከቱ
,"see (hallawa), halləw.",,ህሉት,ሀለወን ይመልከቱ
,"'be, exist, be present, be extant, there is, be available, abide, live';also as present 'is';the verb hallawa, hallo + imperfect of another verb (or imperfect + hallawa, hallo) expresses duration in the past or in the future;",,ሀለወ፣ ሀሎ,መኖር፣ መገኘት
hallawa,"the verb hallawa with object suffix pronouns followed by a jussive expresses an obligation or an instant future (e.g. hallawakkəmu tərwaya-wo 'you will be obliged to see him'); for more details, see Cohen 1924:94-6; (za-hallo 'existing'); (za-hallo 'non-existing'); hallawa 'give existence, make live'; hallawi 'essential, substantial, unfailing, who exists, who lives'; hallaw (fem. hallut) 'existing, who exists, who lives, that lasts, lasting, constant, that is pres-ent, who originates, that is true, that is exact'; (ba-hallaw, hallawa 'really, exactly, truly'); halläwe 'substance, essence, nature, existence, hypostasis, being, state, presence, position, condition, (Lt) dwelling, residence'; (i-halläwe 'absence'); halläwayät (pl. of halläwe) 'elements'; halläwo(t), see halläwe; also 'vicissitude, chance'; (i-halläwo, i-hallo 'nothingness'); hallunä 'essence'; məhallaw 'dwelling place, domicile';","SEMITIC: Ar. (Yemen) hallo 'there is' (W. Müller, ZDMG 131 [1981].399). Dillmann 3 connects it with Ar. hāl 'state'. Praetorius 1890:34 identifies it with Ar. halala which he translates 'wait and hesitate' according to the Qāmūs, and with hallala 'remain behind'. This identification is doubtful. Cohen 1924: 94 quotes Som. hay, al 'be' according to Reinisch. Cohen 1947:no.27 connects hallawa with Ar. (Ta'izz) ma 'allōš 'there is not', but see Rodinson, JA 238 (1950).160 who analyzes ma 'allōš as coming from ma lahu šay' and does not see a connection with hallawa. ETHIOPIC: Te. halla 'be', Tna. 'allo, Arg. halla, Har. hal, Amh. allä, Gur. alä. For more details, see Leslau 1956:79-80. For G. halläwe 'hypostasis', see Cerulli 1957:20-23. For the combination of hallawa with various tenses, see Cohen 1924:94-6, 198-9, 254.",ሀለወ፣ ሀሎ,ግዴታን ወይም የቅርብ ጊዜን ለማመልከት ያገለግላል
helōyälef,(T) name of a star;,perhaps from Gk. hēlios 'sun' combined with the letter alef; or could it be identified with həlāl 'new moon'?,ሄሎያሌፍ,የኮከብ ስም
-homu,"-homu, suffix pronoun of the 3rd masc. pl. attached to nouns ending in a vowel;",,-ሆሙ,የ3ኛ መደብ ተባዕታይ ብዙ ቁጥር አገናዛቢ ተውላጠ ስም (የእነሱ) በአናባቢ ለሚያልቁ ስሞች
homer,(T) 'kind of measure';,transcription of Heb. 'omer. See also gomor.,ሆሜር,የመለኪያ ዓይነት
-hon,"-hon, suffix pronoun of the 3rd fem. pl. attached to nouns ending in a vowel;","SEMITIC: Ar. -hunnā, SAr. (Sabaean) -hn, Heb. -hen after a vowel, Aram. -hōn, Ug. -hn. For more details, see Brockelmann 1908:312-3; Barth 1913:66ff. ETHIOPIC: Te. -han.",-ሆን,የ3ኛ መደብ አንስታይ ብዙ ቁጥር አገናዛቢ ተውላጠ ስም (የእነሱ) በአናባቢ ለሚያልቁ ስሞች
hanb,(Lt) 'big-mouthed jar';,,ህንብ,ትልቅ አፍ ያለው ማሰሮ
henbeliyäl,(T+) 'white millet',see also henäli.,ሄንቤሊያል,ነጭ ማሽላ
hank,"(Gr.6), hankä (Lt) 'take!, so then!, please!';","ETHIOPIC: Tna. hanka 'take!', Te.Tna. 'anka 'take!, Amh. 'ənka 'take!, have!, here!'. See also ka III, and 'ənka.",ህንክ፣ ህንካ,እንካ!፣ እባክህ!
hanos,"(KBT.M), hanos (T) 'sphere above the sky which is one-third water, (KG) turbid water', (L) proper name of an ocean",in view of the variant haros it is perhaps derived from Gk. ouranos 'sky'; also in Amh. hanos (from Geez).,ሀኖስ፣ ሐኖስ,ከሰማይ በላይ ያለ የውሃ ክምችት፣ የውቅያኖስ ስም
hansat,(Lt) 'banana-like plant',ETHIOPIC: Amh. ənsät 'Ensete muse'; also ənsät (for which see Strelcyn 1973:no.90).,ህንሶት,እንሰት
hansot,(T+) 'plain' (n).,,ህንሶት,ሜዳ
hanwaza,"(MA) 'produce light, shine';","is a misprint in relation to hagwaza , or the other way around.",ሀንወዘ,ብርሃን ማመንጨት፣ ማብራት
happala,(Lt) 'wash clothes';,"happäli (K*) 'one who washes clothes', mahappäl, mahappel, mahappil 'one who washes clothes, fuller';",ሀፐለ,ልብስ ማጠብ
habala,"(T) 'bind, tie, plait';","SEMITIC: Ar. wabala 'hit with a stick', wabäl 'stick with which one beats clothes that are being washed to remove the dirt' (Dillmann 22).",ሀበለ,ማሰር፣ መቋጠር፣ መጎንጎን
hepa,"hepa, hepa (T) 'see hyp I, II'.",,ሄጵ፣ ሄጰ,ሄጰን ይመልከቱ
heppo diyäqon,(T) heppo diyäqon 'assistant deacon';,from Gk. hypodiakon.,ሂጶ፡ዲያቆን፣ ሔጶ፡ዲያቆን,ረዳት ዲያቆን
hippoditen,"hippoditen, heppoditen, həppodite (T) həppodite, heppoditen 'vestment of priest';",from Gk. hypodytēs 'undergarment'.,ሂጶዲጤን፣ ሄጶዲጤን፣ ህጶዲጤ፣ ሕጶዴጤ፣ ሔጶዴጤን፣ ሄጶዲጤ,የካህን ልብስ
hippiläpi,(MA) 'see hepeläpu'.,,ሂጲላጲ,ሂጲላጲን ይመልከቱ
heppapa,"(MA) 'bring out, make go out';",see hyp II.,ሄጰጰ,ማውጣት፣ እንዲወጣ ማድረግ
heppopä,"(Gr.14) heppäpä (T) heppäpä, heppopas 'hoopoe, (Gr.14) 'screech owl';","from Gk. epops, acc.sg. epopa 'hoopoe'. See also 'eppopä, heppan. Note that the second p is probably also geminated.",ሄጶጳ፣ ሄጳጳ፣ ሂጳጳ፣ ሄጶጰስ,ኡድኡድ (የወፍ ዓይነት)፣ ጉጉት
hipat,"hipat, see hyp I, hepa.",,ሂጵ,ሄጰን ይመልከቱ
haqqu,(T.M) 'deacon';,any connection with heppo ?,ህቁ,ዲያቆን
harbada,"(T.Y) harbada 'be vio-lently mad, be maddened, be furious, tremble with fear, (K) be spoiled, behave in a fashion not in keeping with one's true condition, (L) 'wallow in mire';","taharbada 'be driven by madness'; harbud (L) 'enraged, full of wrath'; harbadənnä (K) 'arrogance, state of being pam-pered'; taharbədo 'violent madness'; SEMITIC: related to Ar. 'arbada 'be quarrelsome, be ill-natured'. ETHIOPIC: Te. harbäda 'stupidity', Tna. 'arbäd-bädä 'gesticulate wildly', 'əbädəbäd bälä, same. Amh. 'aräbädbädä 'be agitated'; enlarged with r in relation to 'əbäda 'be insane, be enraged', above; see also Rū-žička 124. For the initial ' of Ar. and Tna., cp. Tna. 'abädä 'go mad'.",ሀርበደ፣ ሐርበደ,በኃይል ማበድ፣ መቆጣት፣ በፍርሃት መንቀጥቀጥ
herodäyänos,(T) 'heron';,see 'arodayon.,ሄሮድያኖስ,ሽመላ
haraka,"(Y.M) 'bind, tie, plait';","seems to be a reconstructed form of mähraka, for which see below.",ሀረከ,ማሰር፣ መቋጠር፣ መጎንጎን
harmäs,(Lt) 'elephant';,"probably to be identified with harmaz, below. In this case harmäs would be reconstructed from a pl. *harmäst < harmäzət, by assimilation. Note that h of harmäs could be a variant of harmaz. As for Ar. hirmīs 'lion, rhinoceros, buffalo', it is puzzling in relation to G. harmäs. See also Noeldeke 1910:58.",ሀርማስ,ዝሆን
haros,(T) 'sky';,see hanos.,ሀሮስ,ሰማይ
harəstiyos,(T+) 'weasel';,perhaps corrupt from Gk. hystriks 'porcupine' (Hommel 1877:xxiii).,ህርስቲዮስ,ፍልፈል
