phonetics,meaning,origin_explanation,ethiopic_word,amharic_meaning
,"'knead, crush'; talfaṣa (K*), passive; lafus 'kneaded, mixed'; lafṣat 'kneading' (n.);","ETHIOPIC: Tna. läfäṣä 'plaster', Amh. läfäṭä 'knead'. See also laft.",ለፈጸ,አሸ፣ ፈጨ
(T.D 1393),"'share, portion';","perhaps derived from lafaya 'divide, share'.",ልፍት,ድርሻ፣ ክፍል
(T),'evening meal';,"related to lafaṣa 'knead' (see above), or would it be a graphic confusion with qafṭ?",ለፍጥ,የራት ምግብ
,"'separate, divide, move here and there, (Y) err'; talafaya, passive;","denominative from lafe (see fe, above). See also laft.",ለፈየ,ለየ፣ ከፈለ፣ ተሳሳተ
(DTW),'the milk secreted a few days before and after childbed';,"SEMITIC: Sh. lega 'suck (teats)'. ETHIOPIC: Tna. lägä 'colostrum', Amh. laga (from Geez).",ልግዕ,እንገር
(T.Y.M),"'sew, patch, trim the edge of the leather, be superficially healed'; note that Amh. läggämä (translation of G. lagaba given by Y 324) also means 'be inactive, be lazy, shrink', meanings that come close to 'be superficially healed';","SEMITIC: perhaps Ar. lagama 'sew', with alternance of labials (Ambros). ETHIOPIC: Te. lägbä 'patch', Tna.Amh. läggäbä; a variant of läqqäbä.",ለገበ,ሰፋ፣ ጠገነ
(T.Y.Y 19),"'drool, produce sali-va';","SEMITIC: Ar. (Yemen) lagāgā 'drool, drivel', luğāğ 'saliva, drivel' (W. Müller). ETHIOPIC: Amh. läggägä; passed into Cushitic: Qem. lagāg 'saliva'. Conti Rossini 1912:223 com-pares Qua. läh, Bil. laq.",ለገገ,አዝረከረከ፣ ምራቅ አወጣ
,see malgam.,,ለገመ,ለገመ
(KBT 28),"'become inactive, work slowly';","ETHIOPIC: Tna.Amh. läggämä 'be inactive', Te. lägmā 'be incurable', Gur. läggämä 'work slackly'.",ለጐመ,ሰነፈ፣ ዘገየ
(yəlg'əm),"'rein (v.), bridle, curb, restrain, hold in check, shut off' (denomi-native from lag'ām); 'alg'ama, causative; also 'rein, bridle, to si-lence'; talag'ama, passive; also 'be silent, be quiet'; lag'āmi, act. part. of lag'ama; also 'groom'; lag'ām (Gr) 'bridled, restrained, repressed, over-come'; lag'ām (pl. lag'āmāt, 'alg'ām) 'bridle, rein, halter, band, tie'; malg'ām (Gr) 'bridle'; malg'ām, malg'āmi (Lt) 'which curbs, which binds';","ETHIOPIC: Noeldeke 1910:41 derives G. lag'ām from a rarely attested Aram.Syr. lagāmā, lugmā 'bridle', but it is perhaps rather borrowed from Ar. ligām 'bridle', for which see Fraenkel 100; also in Te. lagām 'bridle', Tna.Amh.Arg.Gaf.Gur. lag'ām. Brockelmann 1928:359 connects the root with Syr. lugmā 'jaw'.",ለጐመ,ለጎመ፣ ገታ
(T.M),"'cake, wafer'; (note that Amh. qäfo 'beehive', a transla-",,ለግን፣ ልግን,ቂጣ
"legewon, legawon","demon, body of demons;","From Gk. legeōn, from Lat. legio 'body of soldiers'",ሌጌዎን፣ ሌግዎን,ጋኔን፣ የጋኔን ጭፍራ
"logyon, logiyon, logyo",'oracular breastplate of the high priest',From Gk. logeion 'oracle'; it translates Heb. ḥōšen,ሎግዮን፣ ሎጊዮን፣ ሎግዮ,የሊቀ ካህናት የደረት ልብስ
lagana (K*),'bake cakes' (denominative);,"from Gk. laganon 'thin and broad cake'; also in Syr. legnā, lagnā 'a cake made of flour and oil'.",ለገነ,ቂጣ ጋገረ
lag°an (A°). (T) lag°an,"'kind of measure, utensil serving as a measure, container for grain, (T) pot'; also = Amh. maṃma° 'shelter erected on poles or in a tree for guarding crops or cattle'","from Gk. lagēnos 'measure for liquids'; also in Amh. lagān 'pottery vessel'; in Semitic: Ar. lugna (for which see Fraenkel 130-1), Aram.-Syr. lagīnā 'bottle, vessel', Md. lugiana; Akkadian liginnu, li-gittu quoted by Drower-Macuch 232 in the meaning of 'measure of grain' (on the authority of Zimmern) is registered with this meaning neither in von Soden nor in CAD. See also lagnat. ETHIOPIC: Reinisch 1890:27 compares Sa. algēn 'case, box'.",ልጒን፣ ልጐን,መስፈሪያ፣ የህል ማጠራቀሚያ
lagnat,"'porridge, container for grain, beehive';","lagnata (M) 'prepare porridge' (denominative); for 'container for grain, beehive', see lag°an, above.",ልግነት,ገንፎ፣ የህል ማጠራቀሚያ፣ ቀፎ
ligir,'kind of precious stone';,from Gk. ligyros; same; see also lagiryōn.,ሊጊር,የከበረ ድንጋይ ዓይነት
lagiryōn (K) lagaryon,'kind of precious stone';,"from Gk. ligyrion, diminutive of ligyros; same; also in Syr. ligwrayyūn. See also ligir.",ለጊርዮን፣ ለግርዮን,የከበረ ድንጋይ ዓይነት
lagat,"'hut, booth, cottage, storehouse, thatched house';","could be derived from walaqa, below, but the connection is doubtful.",ልገት,ጎጆ፣ ዳስ፣ ጎተራ
lag°at (A°),"'abyss, depth, pool of water, whirlpool, (D 1427) a piece of land' (in the expression lag°ata madr);","lag°ata (K*) 'be deep' (denominative); SEMITIC: Ar. lagg, lugga 'depth of the sea, abyss, gulf'. ETHIOPIC: Te. laggāt 'depth, whirlpool', Tna. lag°āt, nāg°āt.",ልጐት,ጥልቀት፣ አዘቅት
lahaba (yalhab) (A°). (T) lahba,"(intr.), blaze, flame, (Y.K.MA.M), be 'fire';","lahaba 'burn (tr.), ignite'; talahaba 'be inflamed, be ignited'; lāḥub 'ignited, inflamed, warm'; lāḥb 'flame, heat, glow, warmth, per-spiration'; lāḥbat (Lt) 'heat, (Gr) flame'; alḥābi (J) 'who ignites'; SEMITIC: Ar. lahiba 'flame' (v.), Mh. (n.), Heb. lahab, lahbā, Syr. lhb in šalhēb 'flame' (v.), Aram. lahābā 'flame' (n.), šalḥēb 'inflame' (v.), labu 'contagious fever'. For the second formation šlhb in the various Semitic languages, see Rabin, EI 9 (1969), 152. ETHIOPIC: Amh. labā 'be warm, perspire', lahab 'flame' (n.), from Geez; Te. lāhaba 'perspire', Tna. lahbāt 'perspiration' (for European root for 'sweat' going back to Buck 264). The root lhb > lb, reduplicated as lblb, occurs in Te. lāḥlāba 'singe, kindle', lāḥlāb 'flame', lāḥlāba 'flame, flare', Amh. lāḥlābā, lāḥlāb 'flame' (n.), Gur. lāḥlāballā 'burn the surface'.",ለሀበ፣ ልህበ,ነደደ፣ ተቃጠለ
lahaha (T.Y.M),'draw water';,"probably to be identified with lahaha 'be humid'. For a connection between 'draw water' and 'be humid', cp. Amh. qādda 'draw water' and qāddaw 'it rained heavily'.",ለህሀ,ውሃ ቀዳ
lāḥlo (T.M),"'iron ring of the plow', (T*) = Amh. alālo 'round, black stone used for crushing cotton seeds';",lāḥlawa (T.M) 'make the iron ring of the plow' (denominative).,ላህሎ,ማረሻ፣ ጥጥ መዳመጫ
lāḥlawa,(T.M) see lāḥlo.,,ላህለወ,ላህለወ
lahlaya (T),"'comfort oneself, console oneself';","one would expect lāhlaya; to be connected with lahaya, below.",ለህለየ,ተጽናና
lahama (Lt),"'burn, flame';","variant of lahaba, above.",ለሀመ,ነደደ
lāḥm (pl. walḥāmt) (A°). (K) lāḥm,"'ox, bull, bullock, cow';","(lāḥma gadām (Lt) 'buffalo'); (wāwā lāḥm 'calf'); SEMITIC: Hommel 1879:103, n.2 compares it with Heb. lhm in mitlaḥamīm 'who are swallowed greedy', Ar. laḥīma 'swallow greedily', lāḥm 'aged ox'. The identification of Ethiopic lḥm with Heb. leḥem 'bread' (that is, 'food' in general, 'bread' in Hebrew, 'meat' in Arabic) which goes back to Isenberg 6 and is taken up by Armbruster 29, and Ullendorff, VT 6 (1956), 192 is doubtful. G. Krotkoff, WZKM (1969), 76-82 likewise expresses doubts concerning this comparison. ETHIOPIC: Tna. laḥmi, laḥmi, lam°cow', Amh.A. lam, Har. lam, Gaf. alām'. There is perhaps a connection with Cushitic: Bil. lōwi 'cow', Kham lōwa, with m > w.",ላህም፣ ላሕም,ላም፣ በሬ
laḥqa (yalḥaq) (A°). (KG) laḥqa,"'grow up, reach manhood, grow old';","(za-yalaḥaq 'elder'); yalḥaqa, alḥaqa 'bring up, rear, make grow, make grow old'; talaḥaqa 'become old, become a presbyter' (nominative of laḥiq); talaḥaqa (K*) 'compete with someone in height, status, and so on'; °astalāḥaqa (K*), caus. of talāḥaqa; laḥiq (fem. laḥiqt, laḥaqt) 'grown-up, adult, old man, senior, presbyter';",ልህቀ፣ ልሕቀ,አደገ፣ ሸመገለ
laḥqat (n.),"'maturing, growing up, growth';","laḥqāt 'old age, mature age'; laḥqān 'seniority, (TS) old age'; laḥqannā 'old age, dignity of elder, principality';",ልህቀት,እድገት፣ ብስለት
°alḥāqi (K*J),"'who brings up, foster father';","malḥaqt (pl. malḥaqtāt, malāḥaqt, malāḥaqt) (T) malḥaqt 'eldest, elder, senior, chief'; malḥaqa bet (Lt) 'steward'; SEMITIC: Soq. dileq 'be numerous' coming from (who, which) 'ileq 'is numerous', pl. yileq, from ileq (il being the plural of the relative pronoun) from lḥq (Leslau 1938:129), Heb. laḥāqā 'seniors, elders' suggested by Ludolf 635 (so also Driver, JTS 29 [1928],394, Ullendorff, VT 6 [1956],194 and Barr",አላህቂ,አሳዳጊ
"laḥsa, laḥasa (A°). (Y) laḥasa, laḥsa","Aḥlā 'vanish, disappear, depart from, (T) be sent away, be dispersed';","talāḥsa (D 1425), talahasa (T) 'glide away, es-cape, vanish, disappear, (M) elapse, (T) be sent away'; ETHIOPIC: connected with Cushitic: Som. lāsa 'bring to an end'.",ልህሰ፣ ለሀሰ፣ ለሐሰ፣ ልሕሰ,ጠፋ፣ ተበተነ
laḥaya (A°). (T.M),"'comfort oneself, amuse oneself, enjoy oneself';","lāḥaya 'comfort, play'; (T.Y.M) lāḥaya 'comfort one another' is undoubtedly for talāḥaya; alḥaya 'comfort, free someone from anxiety, (T) entertain, amuse'; talahaya (T.Gr.20) 'be in motion, be in move-ment, be agitated'; talāḥaya, talahaya, (T) talahaya 'play, amuse oneself, enjoy oneself, amuse one another, comfort one another, play a musical instrument, (Gr.492) play together, (T) go here and there'; °astalāḥaya 'amuse, entertain, divert'; talāḥāyi 'who plays, player'; talāḥāyā (K) 'movement'; talāḥo 'play, amusement, mirth, pastimes'; talḥīt 'play, amusement, entertainment'; malḥāy (Gr.20) 'place reserved for playing'; mastalaḥāy (K*), act. part. of °astalāḥaya; SEMITIC: Ar. laḥā (lḥw, lḥy) 'amuse oneself, play', Heb. lḥh in mitlaḥah 'play', (Pr. 26:18-19), recorded in the existing dictionaries under lḥh, is interpreted as 'trifle, enjoy oneself' and connected with the root lḥy by Kopf 152.",ለሀየ,ተጽናና፣ ተደሰተ
lāh,see lahawa.,,ላሕ፣ ላህ,ላሕ፣ ላህ
lahha,see lhh.,,ለሐ,ለሐ
loha,see lawh.,,ሎሐ፣ ሎሀ፣ ሉሕ,ሎሐ
lahda I,"(T.MA) lahda ለሀድ, (L) lahda ለሀድ 'be tender, be gentle, be delicate, be pampered'.",,I ልሕደ፣ ልህደ፣ ልኀደ,ለዘበ፣ ተቀማጠለ
talahda,same;,,ተለህደ,ለዘበ፣ ተቀማጠለ
lahādi,(K*) act. part. of lahda;,,ለሀዲ,ለሀዲ
lahud,"(fem. lahadd) 'tender, delicate, luxurious, pampered, given to pleasure, (T) old woman' (< 'delicate');",,ለሁድ,ለስላሳ፣ አሮጊት
lāhad,same;,,ላሀድ,ለስላሳ፣ አሮጊት
lādallādā,'be soft' (reduplicated *lhd > ld);,"ETHIOPIC: Amh. lādallādā 'be soft' (reduplicated *lhd > ld); also in Cushitic: Som. lid 'weakness, frailty'. See also lahda.",ላደላደ,ለዘበ
lahda II,"(M) 'be fixed, be established'; lohd (Gr.20) 'arranged with stones, bridge';",MA quotes lahda = Amh. čārrāsā 'finish'; it should be rather tāčārrāsā 'be finished'.,II ልሕደ,ጸና፣ ድልድይ
lahda III,"(K*) 'prophesy, predict the future';",,III ልሕደ,ትንቢት ተናገረ
lahādi,(K*) act. participle; also 'sorcerer'.,,ለሀዲ,ጠንቋይ
lahaf,(KBT 5) 'fringed rug or carpet made from silk or from other thread';,from Ar. lihāf; also Amh. lāhaf.,ለሐፍ,ምንጣፍ
*lahfa,"(T.Y) talahafa 'be troubled, worry, have concern for, be annoyed, be importuned, be affected by a matter, (T) be acquainted with one another (originally, 'have concern for one another');",,ተልሕፈ፣ ተለሐፈ፣ ተልሐፈ,ተጨነቀ፣ ተቸገረ
talahafa,"'be troubled, worry, have concern for, be annoyed, be importuned, be affected by a matter, (T) be acquainted with one another (originally, 'have concern for one another');",,ተለሐፈ,ተጨነቀ፣ ተቸገረ
alhafa,(K*) 'cause concern';,,አልሐፈ,አስጨነቀ
astalahafa,"'cause concern, give worries';",,አስተላሐፈ,አስጨነቀ
talhāf,"'concern, worry, solicitude, dealings';","SEMITIC: related to Ar. lahifa 'grieve for', lahf 'sorrow'.",ተልሐፍ,ጭንቀት
lhh,"lahha, lahaha 'be humid, (Y) be soft, be smooth';","SEMITIC: Ar. lahia 'stick together (eyelids)' where the effect of moisture is involved (Ambros), ('a)lahha 'give a continuous rain (cloud)', Heb. lah 'moist, fresh', PBh. lihle'h 'moisten', Aramaic. lahlaḥ, Pal.Syr. lh 'moisture'.",ለሐ፣ ለሐሐ,ረጠበ፣ ለዘበ
alhaša,"'moisten, cool off, soften', (KG) = Amh. abbo abbo alā 'ask St. Gābrā mānfas qaddus for help'; (T) also = Amh. abāzza 'multiply' is probably a wrong interpretation.",,አልሐሰ,አረጠበ፣ አቀዘቀዘ
lahuk,"'fashion, form, mold, create, shape, (Gr.22) make earthenware';",,ለሐኰ,ሠራ፣ ቀረጸ
talhuk,"'a, causative;",,ተለሐኰ,ተሠራ
lahāk,"'a, passive;",,ለሐክ,ተሠራ
lahāk,"'i 'who fashions, fashioner, potter, creator';",,ለሐኪ,ሠሪ፣ ሸክላ ሠሪ
luhuk,"'fashioned, formed';",,ልሑክ,የተሠራ
lahək,"(fem. of luhuk) 'formed, fashioned, form, formation, creation, work, handiwork, earthenware, (T) clay, (Lt) vase';",,ልሕክ,ስራ፣ ሸክላ
lahāk,"'ənnā, ləhkənnā (Gr.23) 'art of the potter';",,ልህክና,የሸክላ ስራ
malhāk,(J) 'place where pots are molded';,"ETHIOPIC: from Cushitic: Bed. luk 'clay'; Praetorius, ZDMG 47 (1893), 390 following Reinisch 1884:89 derives it from Cushitic: Kham. roq°a 'clay', Af. rugā, Bil. darawqā. The derivation of Ethiopic śākla 'clay' from ś + kl from G. lhk 'mold, shape' suggested by Praetorius 1879:94 is unlikely.",መለሐክ,ሸክላ መስሪያ ቦታ
lāhlāha,"(T) lāhlāha ለሀለሀ, (Y) lāhlāha ለሀለሀ (instead of ለሀለሀ) 'be humid, be damp';",,ላሕልሐ፣ ላህልሀ፣ ለኅልኀ,ረጠበ
alhalha,(D 1425) 'alhalha 'moisten';,,አላህልሀ,አረጠበ
lahluḥ,"'humid, wet';",,ልሕሉሕ,እርጥብ
lahlāhe,"(Gr.21) 'cooling, relief'; see also lhh.",,ላህላሄ,ማቀዝቀዣ
lahalt,"(T) 'wet, humid, soft';","seems to be a wrong reading for lāhləht (see Dillmann 30, under lahluh); as for the meaning 'soft', see lāhlāha. M.19 renders it 'pearl'; he apparently misread Tayyā's Amh. lal 'soft' (translation of G. lalt) for lul 'pearl'.",ልሕልት,እርጥብ፣ ለስላሳ
lahama,"(K*) lahama ለሀመ (T.Y) 'be strong, (T.Y.KG) become severe or worse (referring to a disease)';",,ለሐመ፣ ለሀመ,በረታ፣ ጸና (በሽታ)
lāhama,"'close, glue';",,ላሐመ,አጣበቀ
lahum,"(KG) 'strong, severe (disease)';","SEMITIC: Ar. lahama 'consolidate, solder, mend'. G. lāhama is perhaps borrowed from Ar. lahama rather than being a cognate. ETHIOPIC: Te. lāhama 'hold together by means of glue'.",ልሑም,የጸና (በሽታ)
lahma (yalhạm),"(D.Gr.21), (T.Y) 'be tender, be soft, be reduced to powder, be pulverized, be flexible, be supple, be feeble, be infirm, be moist';",,ልሕመ፣ ለሐመ,ለዘበ፣ ደቀቀ፣ ላሉ
lahama,causative;,,ለሐመ,አለዘበ
lahum,"'tender, soft, supple, weakened, feeble, (Gr.21) reduced to powder, pulverized';",,ልሑም,ለስላሳ፣ የደቀቀ
lahmat,(Gr.21) 'reducing to powder (n. pulverizing)';,,ልሕመት,መደቀቅ
alhāmi,"malhami (read thus instead of ahlāmi, malhami of Gr. 21), act. part. of alhama; malhām 'place where one reduces to powder' (instead of mahlām of Gr.21).","SEMITIC: related to Ar. lahama 'languidness' (so also Salu 1). ETHIOPIC: Tna. lāhamā 'be pulverized', lāhamā 'be soft, be tender', Amh. lamā 'be pulverized, be soft', Arg. lāhim 'soft', Har. lēhama 'become soft', Gaf. lāmāmā 'soft', Gur. lāmā 'be soft, be smooth' (Selti, Wolane also lāmālāmā). Note that Gaf. and Gur. can go back to lamlama, below.",አልሐሚ,አድቃቂ
lahaqa (yalhaq),"(K*Gr.22) 'stick together, fasten, cling' (intr.);",,ለሐቀ,ተጣበቀ
malhaq,(K) malhaq (pl. malāhəq) 'anchor'; malhaq (T') 'iron tripod';,"SEMITIC: Ar. lahiqa 'cling to'. ETHIOPIC: Tna. malhəq 'anchor', Amh. malhaq.",መልሐቅ,መልህቅ
lahasa I (yalhas),"'lick, be parched (with thirst) and thrust out the tongue to lick'; (Y) lahasa = Amh. amarā 'be pretty' is strange; possibly a misprint for lahaya;",,I ለሐሰ፣ ልሕሰ,ላሰ
talāhasa,"(Lt), talāhasa (M) 'move when hissing (tongue of a snake), move (scale, by counterbalance)';",,ተላሐሰ,ተንቀሳቀሰ
alhasa,(Gr.22) 'cause to lick';,,አልሐሰ,አላሰ
talhasa,(Gr.22) 'be licked';,,ተልሐሰ,ተላሰ
lahāsi,(Gr.22) 'who licks';,,ለሐሲ,ላሽ
lahus,(Gr.22) 'licked';,,ልሑስ,የተላሰ
lahusat,(Gr.22) 'licking' (n.);,,ልሑሳት,መላስ
